artist_name,song_title,spotify_id,spotify_song,spotify_artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Lauv,I Like Me Better,2P91MQbaiQOfbiz9VqhqKQ,I Like Me Better,Lauv,0.535,0.752,197437.0,0.505,2.55e-06,9.0,0.104,-7.621,1.0,0.253,91.97,4.0,0.419
Rascal Flatts,Yours If You Want It,4D4xJ4LyDXBWIf9thFSMAJ,Yours If You Want It,Rascal Flatts,0.0103,0.554,206827.0,0.903,0.0,8.0,0.107,-3.152,1.0,0.0515,112.998,4.0,0.419
Danny Holien,Colorado,4WfNqOng3f8T67gFkFL71A,Colorado,Danny Holien,0.581,0.319,311147.0,0.274,0.481,5.0,0.101,-12.568,0.0,0.0342,87.741,4.0,0.417
Lee Brice,Boy,7A8OfzqXBHYGk61FZTHoeo,Boy,Lee Brice,0.644,0.498,198973.0,0.408,0.0,6.0,0.0993,-7.946,1.0,0.0331,78.942,4.0,0.383
Selena Gomez,Bad Liar,2fZQIJew3nkNe99s2PKzul,Bad Liar,Selena Gomez,0.189,0.965,214648.0,0.414,0.0,1.0,0.0767,-6.408,1.0,0.0713,121.032,4.0,0.728
Liam Payne Featuring Quavo,Strip That Down,4Ro98RCK90oHqqSZUnTFq5,Strip That Down,Liam Payne,0.22,0.874,204502.0,0.497,0.0,6.0,0.0761,-5.484,1.0,0.0562,106.023,4.0,0.542
Scotty McCreery,Five More Minutes,3qTmB5HxP9ilJaiM6B1yuk,Five More Minutes,Scotty McCreery,0.259,0.494,241147.0,0.634,1.15e-06,7.0,0.109,-4.933,1.0,0.0282,156.03,4.0,0.28
Maluma,Felices Los 4,1RouRzlg8OKFeqc6LvdxmB,Felices los 4,Maluma,0.213,0.766,230000.0,0.756,0.0,5.0,0.349,-5.861,1.0,0.132,94.027,4.0,0.716
XXXTENTACION,Revenge,5TXDeTFVRVY7Cvt0Dw4vWW,Revenge,XXXTENTACION,0.782,0.746,120027.0,0.251,0.00203,11.0,0.106,-16.169,0.0,0.259,139.999,4.0,0.18
Shakira Featuring Nicky Jam,Perro Fiel,70lnL3QaSOIIyMa2X9aVRL,Perro Fiel (feat. Nicky Jam),Shakira,0.187,0.75,195213.0,0.76,0.0,1.0,0.0548,-4.836,1.0,0.198,183.817,4.0,0.893
Ray J,Everything You Want,7t2v02FIGUludGUEugiRrS,Everything You Want,Ray J,0.314,0.629,311867.0,0.708,6.3e-06,11.0,0.227,-3.647,0.0,0.0603,176.536,4.0,0.837
Martin Garrix x Troye Sivan,There For You,6jA8HL9i4QGzsj6fjoxp8Y,There for You,Martin Garrix,0.124,0.611,221904.0,0.644,0.0,6.0,0.124,-7.607,0.0,0.0553,105.969,4.0,0.13
Gucci Mane Featuring Offset,Met Gala,2XaInsPPUkZRkY4uFJ3AHK,Met Gala (feat. Offset),Gucci Mane,0.052,0.817,209143.0,0.587,0.00165,2.0,0.185,-6.502,1.0,0.108,140.062,4.0,0.352
Lauren Duski,The Dance,1HQtmjBwA4257dxNTvG5Rt,The Dance - The Voice Performance,Lauren Duski,0.208,0.465,210732.0,0.446,0.0,2.0,0.138,-5.515,1.0,0.0278,132.022,4.0,0.193
Lauren Duski,Deja Vu,4xTNksNuXORn62bGXsGZXd,Deja Vu - The Voice Performance,Lauren Duski,0.691,0.433,187824.0,0.337,0.0,2.0,0.0873,-6.386,1.0,0.0383,71.569,4.0,0.243
Lauren Duski,Ghost In This House,6cl1vl6OU6RLr1C56wOn21,Ghost In This House - The Voice Performance,Lauren Duski,0.321,0.368,212758.0,0.478,0.0,8.0,0.121,-4.978,1.0,0.0306,167.526,4.0,0.325
