artist_name,song_title,spotify_id,spotify_song,spotify_artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Al Jarreau,After All,5g5EdgkfKVUceOTJtm0Kel,After All,Al Jarreau,0.573,0.487,259533.0,0.192,2.54e-06,1.0,0.0759,-17.308,1.0,0.0291,62.086,4.0,0.26
George Benson,Give Me The Night,62GYoGszQfROZswLee6W3O,Give Me the Night,George Benson,0.314,0.85,222627.0,0.466,0.0234,1.0,0.129,-15.673,1.0,0.0555,109.936,4.0,0.86
Spyro Gyra,Catching The Sun,,,,,,,,,,,,,,,,
Herbie Hancock,Rockit,2nWHzbBWBOePUvAImQv2So,Rockit,Herbie Hancock,0.0317,0.878,325133.0,0.951,0.544,7.0,0.0614,-5.077,1.0,0.069,111.334,4.0,0.607
The Crusaders,Street Life,6Llr9PVC1cirKUwu7Fle83,Street Life - Single Edit,The Crusaders,0.603,0.505,332133.0,0.625,3.98e-05,5.0,0.0823,-8.195,0.0,0.0686,110.791,4.0,0.608
Cannonball Adderley,"Mercy, Mercy, Mercy",6NF8MZ2trxckVBr82pyyPt,"Mercy, Mercy, Mercy",Cannonball Adderley,0.719,0.544,313200.0,0.425,0.0186,10.0,0.964,-10.231,1.0,0.0346,84.443,4.0,0.348
Herbie Hancock,Chameleon,4Ce66JznW8QbeyTdSzdGwR,Chameleon,Herbie Hancock,0.104,0.581,941360.0,0.672,0.856,8.0,0.0458,-8.279,1.0,0.0602,111.154,4.0,0.808
Stan Getz/Astrud Gilberto,The Girl From Ipanema,3898C4AbdbptwYet6547e5,The Girl From Ipanema,Stan Getz,0.909,0.664,321827.0,0.194,3.85e-05,5.0,0.0829,-15.487,0.0,0.0357,129.863,4.0,0.443
"Grover Washington, Jr.",Mister Magic,,,,,,,,,,,,,,,,
Cannonball Adderley,Country Preacher,7g4LLcIDNC1gVcz97dpVR2,Country Preacher - Live,The Cannonball Adderley Quintet,0.969,0.389,268907.0,0.0605,0.253,2.0,0.805,-24.029,0.0,0.0454,100.21,3.0,0.265
Kenny G,Forever In Love,13cpOnmccZGVGFngLxYN4I,Forever in Love,Kenny G,0.336,0.343,299493.0,0.318,0.158,5.0,0.17,-14.901,1.0,0.0312,81.993,4.0,0.11
Herbie Mann,Memphis Underground,,,,,,,,,,,,,,,,
Kenny G. (Vocal By Lenny Williams),Don't Make Me Wait For Love,4xbJyF9RDa1VLoZNoCFy1r,Don't Make Me Wait for Love,Kenny G,0.493,0.5,245773.0,0.489,0.00013,2.0,0.163,-11.428,1.0,0.0299,84.284,4.0,0.441
George Benson,20/20,1VFY4UhoFOkeXhUHi7KzGj,20/20,George Benson,0.274,0.723,247440.0,0.686,2.88e-05,6.0,0.0616,-11.435,0.0,0.0368,110.322,4.0,0.879
The Blackbyrds,Time Is Movin',6qLs56fv8Qdt88oh7JZkDu,Time Is Movin',The Blackbyrds,0.0247,0.641,282427.0,0.744,0.672,7.0,0.208,-12.576,1.0,0.033,123.996,4.0,0.736
Mac Davis,Texas In My Rear View Mirror,6G6txAgWVFlaX2uCqfMc2Z,Texas In My Rear View Mirror,Mac Davis,0.366,0.539,255267.0,0.379,0.0,2.0,0.173,-13.956,1.0,0.107,75.387,4.0,0.751
Mac Davis,It's Hard To Be Humble,6RnKm1xSMDnPtzWx8K9T8a,It's Hard to Be Humble,Mac Davis,0.252,0.375,256720.0,0.473,0.0,2.0,0.281,-14.177,1.0,0.0587,163.181,3.0,0.584
Four Tops,Ain't No Woman (Like The One I've Got),6q8NBpF6twALMb86FBpLgQ,Ain't No Woman (Like The One I've Got),Four Tops,0.33,0.562,187773.0,0.592,1.25e-05,2.0,0.0882,-9.694,0.0,0.0393,99.05,4.0,0.869
Four Tops,Ain't That Love,67SVvBhxFzSZiNoCGOfdTe,Ain't That Love,Four Tops,0.819,0.572,146667.0,0.786,0.0,1.0,0.55,-8.613,1.0,0.19,146.524,4.0,0.962
Maureen McGovern,Different Worlds,6i9b14YXyWIMiQg26IWYA5,Different Worlds - theme from the TV series Angie,Maureen McGovern,0.037,0.604,138760.0,0.549,0.0,5.0,0.0856,-13.252,1.0,0.055,105.49,4.0,0.704
Maureen McGovern,The Morning After,62QRbVm7DqR3eoqgT7pEfs,The Morning After - Single Version,Maureen McGovern,0.475,0.408,141720.0,0.511,0.0,6.0,0.625,-7.225,1.0,0.0263,80.176,4.0,0.354
Barbra Streisand,Left In The Dark,56Mezqhixz82RQZFcOUz9J,Left In the Dark,Barbra Streisand,0.693,0.428,429733.0,0.273,0.0,6.0,0.115,-20.813,1.0,0.0444,122.292,4.0,0.256
Barbra Streisand With Kim Carnes,"Make No Mistake, He's Mine",0yWTY5DsdlY5bGrVlh7Hxj,"Make No Mistake, He's Mine (feat. Kim Carnes)",Barbra Streisand,0.873,0.156,249267.0,0.0844,0.0,6.0,0.107,-21.035,1.0,0.0315,71.874,4.0,0.0893
Barbra Streisand,Emotion,1NlhlIhzRwORlIPw0PkwOg,Emotion,Barbra Streisand,0.633,0.632,296093.0,0.443,6.84e-06,2.0,0.0896,-16.362,1.0,0.0389,109.573,4.0,0.669
Aerosmith,Falling In Love (Is Hard On The Knees),1oBTw7IkWnEUxiestsAD1V,Falling In Love (Is Hard On The Knees),Aerosmith,0.0144,0.612,205800.0,0.861,0.0,7.0,0.119,-4.571,0.0,0.0293,116.663,4.0,0.888
Chris Rea,Working On It,2fCXGyWLazfdiChzAkm6Wq,Working on It,Chris Rea,0.22,0.57,265227.0,0.815,4.23e-05,4.0,0.444,-11.413,1.0,0.0676,127.693,4.0,0.329
Joe Cocker And Jennifer Warnes,Up Where We Belong,4U6mBgGP8FXN6UH4T3AJhu,"Up Where We Belong - From ""An Officer And A Gentleman""",Joe Cocker,0.634,0.624,232667.0,0.306,2.67e-05,2.0,0.0632,-11.831,1.0,0.0318,139.912,4.0,0.227
Joe Cocker,High Time We Went/Black-Eyed Blues,59HxRYpU61UgzewVxove4P,High Time We Went,Joe Cocker,0.03,0.721,270067.0,0.507,6.52e-06,9.0,0.0939,-14.16,1.0,0.0304,124.355,4.0,0.937
Joe Cocker,With A Little Help From My Friends,0YZ3J8xzGwLOg4yEgST1YK,With A Little Help From My Friends,Joe Cocker,0.288,0.307,312173.0,0.43,0.000994,2.0,0.0988,-11.333,1.0,0.0629,145.224,3.0,0.305
Joe Cocker,Feeling Alright,33pjFrnxvNInm6IEkIZ0iQ,Feeling Alright,Various Artists,0.208,0.496,259880.0,0.841,3.44e-05,5.0,0.0988,-6.286,1.0,0.0399,174.069,4.0,0.785
Timex Social Club,Rumors,4yCmtYi6veZS3FcH9lp4O7,Rumors,Timex Social Club,0.0377,0.873,288554.0,0.754,0.0,8.0,0.053,-6.286,1.0,0.0496,106.33,4.0,0.556
Kool & The Gang,Hollywood Swinging,6igsoAR6Co9u7Rq3U7mlOD,Hollywood Swinging,Kool & The Gang,0.0195,0.623,279933.0,0.824,0.13,6.0,0.0491,-8.971,0.0,0.0479,111.356,4.0,0.574
Kool & The Gang,Kool And The Gang,3GdvI6fsbGQXkYR2xoMLQ3,Kool & The Gang,Kool & The Gang,0.235,0.61,178013.0,0.782,0.388,0.0,0.239,-10.137,1.0,0.0554,135.504,4.0,0.704
Natalie Cole,When I Fall In Love,645idGef09RZK2DXIaQf9b,When I Fall In Love,Natalie Cole,0.904,0.294,249680.0,0.221,0.000103,6.0,0.117,-13.722,1.0,0.03,82.867,4.0,0.13
Aretha Franklin,The Weight,39lw4tu2jDKW5kf7HGyqmM,The Weight,Aretha Franklin,0.675,0.525,179827.0,0.615,2.52e-05,3.0,0.114,-10.893,1.0,0.315,171.59,4.0,0.728
Aretha Franklin,The House That Jack Built,3uK6SqdNXutPBNi6vUenpt,The House That Jack Built,Aretha Franklin,0.281,0.516,139920.0,0.892,0.0,1.0,0.283,-4.168,1.0,0.0969,184.194,4.0,0.961
Aretha Franklin,Baby I Love You,5liSqIuo993Rj1ayyqQqAw,"Baby, I Love You",Aretha Franklin,0.499,0.565,164267.0,0.41,0.0,0.0,0.664,-10.315,1.0,0.0386,182.164,4.0,0.827
Aretha Franklin,Something He Can Feel,4IOtu2nO8Us3kPtEZmUr0k,Something He Can Feel,Aretha Franklin,0.224,0.613,381827.0,0.393,0.0,0.0,0.45,-13.305,1.0,0.0442,107.72,3.0,0.64
Aretha Franklin,Oh Me Oh My (I'm A Fool For You Baby),58yfJguiaxtLeYV3ly5nmR,Oh Me Oh My (I'm a Fool for You Baby),Aretha Franklin,0.746,0.425,222173.0,0.231,0.0,10.0,0.272,-13.895,1.0,0.0391,118.373,4.0,0.213
Aretha Franklin,Master Of Eyes (The Deepness Of Your Eyes),4q3MFOf4knEFp7aG86ejXo,Master of Eyes (The Deepness of Your Eyes),Aretha Franklin,0.548,0.332,206973.0,0.516,0.0,0.0,0.111,-10.805,1.0,0.0328,186.075,4.0,0.835
Aretha Franklin,Angel,7p5tI4AwEqB6qvNPb8Iisg,"What a Friend We Have in Jesus - Live at New Temple Missionary Baptist Church, Los Angeles, January 13, 1972",Aretha Franklin,0.608,0.493,356293.0,0.849,0.0128,5.0,0.703,-7.506,1.0,0.101,116.366,4.0,0.45
Aretha Franklin,Bridge Over Troubled Water/Brand New Me,3MGNretkjfPdtL1YfZY34Z,Bridge over Troubled Water,Aretha Franklin,0.721,0.481,331360.0,0.395,4.93e-05,10.0,0.451,-9.017,1.0,0.0319,77.89,4.0,0.373
Aretha Franklin with The Dixie Flyers,Spirit In The Dark,1Zh3YWzSgl3vRhzz6KlRV4,Spirit in the Dark (with The Dixie Flyers) - 2018 Mono Remaster,Aretha Franklin,0.371,0.508,179053.0,0.495,1.17e-06,0.0,0.132,-10.359,1.0,0.0962,131.092,4.0,0.806
Aretha Franklin with The Dixie Flyers,Don't Play That Song,3C0rGPL3HW3WxaB594VlBN,Don't Play That Song (with The Dixie Flyers) - 2018 Mono Remaster,Aretha Franklin,0.364,0.598,183880.0,0.577,0.0426,0.0,0.264,-7.801,1.0,0.0442,108.153,4.0,0.73
Aretha Franklin,Spanish Harlem,0sQ594D1EuU66VDdtHBE6j,Spanish Harlem,Aretha Franklin,0.235,0.66,213560.0,0.619,0.00793,2.0,0.0828,-12.577,1.0,0.0466,115.419,4.0,0.913
Ray Stevens,I Need Your Help Barry Manilow,,,,,,,,,,,,,,,,
Carpenters,All You Get From Love Is A Love Song,0iscir8JzbagvY3p3uQyqf,All You Get From Love Is A Love Song,Carpenters,0.295,0.571,226533.0,0.521,0.0,10.0,0.0728,-12.508,1.0,0.0317,121.75,4.0,0.895
Carpenters,Only Yesterday,6pVLgwDRTCORcbn5czge5R,Only Yesterday,Carpenters,0.0271,0.359,250868.0,0.438,0.0,8.0,0.131,-14.401,1.0,0.0376,137.557,4.0,0.581
Carpenters,Top Of The World,1Ehdm1PDlKrdfyBsjwEvd1,Top Of The World,Carpenters,0.806,0.379,179173.0,0.343,0.0,10.0,0.0991,-12.993,1.0,0.0385,184.301,4.0,0.694
Carpenters,Solitaire,6r1RBZtxQGZQVP9RSYS07J,Solitaire,Carpenters,0.242,0.236,279893.0,0.24,3.89e-06,4.0,0.0951,-15.169,1.0,0.0309,142.682,4.0,0.156
Carpenters,I Need To Be In Love,5CMPmGVhRhNLZ1PIyYJG5O,I Need To Be In Love,Carpenters,0.824,0.29,225827.0,0.265,0.0226,9.0,0.0823,-14.01,1.0,0.035,143.632,4.0,0.173
Commodores,Machine Gun,3mQTPYezPCB9uUM3WpkIff,Machine Gun,Commodores,0.00882,0.741,159467.0,0.97,0.836,5.0,0.295,-6.364,1.0,0.0341,113.103,4.0,0.778
Commodores,Three Times A Lady,4ztwMHfPZhPoruZdBbgriM,Three Times A Lady,Commodores,0.874,0.39,217427.0,0.0803,0.000639,8.0,0.127,-20.518,1.0,0.0306,150.503,3.0,0.184
Commodores,Just To Be Close To You,60ijzJRo70XLwAEaX6y0eZ,Just To Be Close To You,Commodores,0.466,0.46,381360.0,0.315,0.0,0.0,0.0533,-13.23,1.0,0.0503,99.402,3.0,0.327
Jose Feliciano,Feliz Navidad,0oPdaY4dXtc3ZsaG17V972,Feliz Navidad,José Feliciano,0.55,0.513,182067.0,0.831,0.0,2.0,0.336,-9.004,1.0,0.0383,148.837,4.0,0.963
Jose Feliciano,Hi-Heel Sneakers,3Wdk8wT9uqBVXhwwWt4YEb,Hi-Heel Sneakers,José Feliciano,0.763,0.746,140573.0,0.594,0.00203,2.0,0.0782,-9.268,1.0,0.0846,97.83,4.0,0.861
Bush,Glycerine,7wpYSigAhQeZp3cdsMQ3Af,Glycerine,Bush,0.0371,0.437,266493.0,0.337,0.000946,5.0,0.0981,-11.439,1.0,0.0326,114.239,4.0,0.0784
Bush,Comedown,2ox1STg6AbcEHoHWlFtFwr,Comedown,Bush,6.54e-05,0.46,326667.0,0.81,0.000189,11.0,0.123,-5.008,0.0,0.0557,139.671,4.0,0.38
Brooks & Dunn,My Maria,09qzRI951OVkXGCc33gzcT,My Maria,Brooks & Dunn,0.06,0.673,208107.0,0.842,0.000257,3.0,0.178,-4.627,1.0,0.0366,125.57,4.0,0.898
Cameo,She's Strange,5QW1EprEeYRlalLAAlo0d6,She's Strange,Cameo,0.136,0.816,431667.0,0.593,0.0358,1.0,0.0631,-11.751,1.0,0.0867,109.006,4.0,0.883
Mariah Carey Featuring Joe & 98 Degrees,Thank God I Found You,6nTcn8CybBcx0t7IaXEJ6O,Thank God I Found You (feat. Joe & Nas) - Make It Last Remix Edit,Mariah Carey,0.0129,0.608,251640.0,0.76,0.0,4.0,0.332,-5.851,0.0,0.242,168.211,4.0,0.366
Mariah Carey Featuring Jay-Z,Heartbreaker,0jsANwwkkHyyeNyuTFq2XO,Heartbreaker (feat. Jay-Z),Mariah Carey,0.383,0.524,285707.0,0.816,0.0,1.0,0.349,-5.872,1.0,0.37,200.031,4.0,0.789
Mariah Carey,Always Be My Baby,2aBxt229cbLDOvtL7Xbb9x,Always Be My Baby,Mariah Carey,0.457,0.65,258133.0,0.531,0.0,4.0,0.249,-8.335,1.0,0.0364,78.946,4.0,0.487
Mariah Carey & Boyz II Men,One Sweet Day,7ySbfLwdCwl1EM0zNCJZ38,One Sweet Day,Mariah Carey,0.353,0.568,281067.0,0.495,0.0,1.0,0.0839,-8.964,1.0,0.0299,128.234,4.0,0.303
Mariah Carey,Fantasy,6xkryXuiZU360Lngd4sx13,Fantasy,Mariah Carey,0.139,0.669,243493.0,0.727,0.0,7.0,0.123,-7.588,1.0,0.0353,102.322,4.0,0.807
Mariah Carey,Never Too Far/Hero Medley,2HUF6ZvF1kgTHCKb1mexrC,Hero,Mariah Carey,0.718,0.515,257800.0,0.397,0.0,9.0,0.107,-9.24,1.0,0.0294,120.035,4.0,0.17
Mariah Carey,Make It Happen,5UVcgBRW78CCcKCopEGAST,Make It Happen,Mariah Carey,0.00657,0.811,307000.0,0.531,0.0285,2.0,0.0801,-8.537,0.0,0.0355,107.853,4.0,0.752
Mariah Carey,Emotions,0cELvuwJW1acISUHYB6suj,Emotions,Mariah Carey,0.0409,0.74,248093.0,0.752,0.00125,9.0,0.0233,-7.008,0.0,0.0359,114.851,4.0,0.939
Captain & Tennille,The Way I Want To Touch You,7KdcZQ3GJeGdserhK61kfv,The Way I Want To Touch You,Captain & Tennille,0.624,0.664,163587.0,0.585,0.000112,0.0,0.343,-7.062,0.0,0.0248,111.29,4.0,0.597
Captain & Tennille,Shop Around,3maAFCOtAdJElV8gdU5GG4,Shop Around,Captain & Tennille,0.274,0.643,210240.0,0.719,3.72e-05,1.0,0.0488,-8.109,1.0,0.0426,125.338,4.0,0.963
Captain & Tennille,Muskrat Love,3NRiJ7XFMALvrXXB1oRBFO,Muskrat Love,Captain & Tennille,0.89,0.659,228160.0,0.257,0.00014,9.0,0.252,-16.552,1.0,0.0382,102.977,4.0,0.222
Captain & Tennille,Love Will Keep Us Together,4pCNJwixy2ImFncaPY2yE2,Love Will Keep Us Together,Captain & Tennille,0.354,0.621,205493.0,0.788,0.0,4.0,0.305,-4.326,1.0,0.0314,129.62,4.0,0.926
Tracy Byrd,I'm From The Country,7m6Q3ww2YzIkJV0VU8lyuF,I'm From the Country,Tracy Byrd,0.0112,0.659,219307.0,0.794,3.46e-05,7.0,0.38,-6.67,1.0,0.03,129.883,4.0,0.841
Candlebox,You,5J19HPdmJHOEu32iyZEt5k,You,Candlebox,0.00789,0.329,297173.0,0.861,2.88e-06,11.0,0.0844,-5.855,0.0,0.147,195.303,3.0,0.599
Boyz II Men,Water Runs Dry,7yhmvQh1JOzbNiNFQo4Tfc,Water Runs Dry,Boyz II Men,0.475,0.589,201400.0,0.368,0.0,0.0,0.108,-12.979,1.0,0.0264,89.626,4.0,0.523
Boyz II Men,On Bended Knee,7MYmo0JJJDmu4MZTSAF9y3,On Bended Knee,Boyz II Men,0.413,0.631,329800.0,0.516,0.0,8.0,0.115,-8.225,1.0,0.0353,116.654,4.0,0.18
Boyz II Men,I'll Make Love To You,61sQYdFNS6sEBYCyr1q5gn,I'll Make Love To You,Boyz II Men,0.0995,0.567,236773.0,0.501,0.0,2.0,0.0986,-8.038,1.0,0.0241,142.589,3.0,0.2
Boyz II Men,Vibin',2Y9VaMYMbwkx8JmHLQpQ4X,Vibin',Boyz II Men,0.0187,0.707,267893.0,0.445,0.0011,1.0,0.0699,-10.081,1.0,0.0337,90.981,4.0,0.605
Boyz II Men,Thank You,2ESAoDR0NAUMzm81TEBuJE,Thank You,Boyz II Men,0.0165,0.678,275200.0,0.711,0.0,1.0,0.0184,-8.949,1.0,0.0759,95.101,4.0,0.91
Tracy Byrd,Put Your Hand In Mine,4WMQQm6fiuF9MjCegwDDmf,Put Your Hand In Mine,Tracy Byrd,0.125,0.495,271773.0,0.488,0.0,3.0,0.189,-7.477,1.0,0.0309,72.064,4.0,0.237
Belinda Carlisle,I Get Weak,2B1ylFlO2nBGJdPNb9vMnn,I Get Weak,Belinda Carlisle,0.357,0.583,292293.0,0.732,1.03e-06,10.0,0.101,-10.134,1.0,0.0288,103.38,4.0,0.369
Belinda Carlisle,I Feel Free,1MD7WO5Oh8tbXcuYE05s9o,I Feel Free,Belinda Carlisle,0.119,0.543,289400.0,0.728,0.318,9.0,0.2,-12.086,1.0,0.0489,90.782,4.0,0.743
Belinda Carlisle,Circle In The Sand,3eZTZlnRc8pMe5K1ClzXU2,Circle In The Sand,Belinda Carlisle,0.0471,0.611,223560.0,0.839,0.0,2.0,0.214,-5.241,0.0,0.0439,125.923,4.0,0.708
Belinda Carlisle,Heaven Is A Place On Earth,58mFu3oIpBa0HLNeJIxsw3,Heaven Is A Place On Earth,Belinda Carlisle,0.031,0.64,247293.0,0.81,2.22e-06,4.0,0.0492,-10.19,1.0,0.033,122.868,4.0,0.804
Tracy Byrd,The Keeper Of The Stars,5WEK4szbQp9c7ZK6LkYd9k,The Keeper Of The Stars,Tracy Byrd,0.47,0.583,247627.0,0.276,0.0,2.0,0.143,-12.912,1.0,0.0264,78.079,4.0,0.0486
Tracy Byrd,Watermelon Crawl,3Q9t1A12iUemHTAWnH7PjD,Watermelon Crawl,Tracy Byrd,0.173,0.759,181973.0,0.723,0.0,0.0,0.179,-9.315,1.0,0.028,136.746,4.0,0.962
Boyz II Men,A Song For Mama,6FuJokk9FHx0E00SZ8ib8X,A Song For Mama,Boyz II Men,0.471,0.569,303373.0,0.44,0.0,7.0,0.143,-8.948,1.0,0.035,75.001,4.0,0.151
Boyz II Men,4 Seasons Of Loneliness,027tq4cWr0kRxLTfdxvM1L,4 Seasons Of Loneliness,Boyz II Men,0.821,0.583,292400.0,0.488,1.71e-05,6.0,0.115,-10.494,1.0,0.0444,98.497,4.0,0.191
Brooks & Dunn,Boot Scootin' Boogie,7Fq9RwQxSn3kW85PrDUf0M,Boot Scootin' Boogie,Brooks & Dunn,0.22,0.656,198227.0,0.817,0.0,11.0,0.304,-4.296,0.0,0.0435,130.448,4.0,0.862
Carpenters,We've Only Just Begun,4ny0oELEssJsXNQDxpWWLI,We’ve Only Just Begun,Carpenters,0.678,0.396,239813.0,0.452,1.02e-05,9.0,0.284,-5.854,1.0,0.0305,84.467,4.0,0.158
Tracy Byrd,Walking To Jerusalem,05u3Si3CO5FBZhEdA76Xsd,Walking To Jerusalem - Single Version,Tracy Byrd,0.0452,0.688,206667.0,0.832,0.0,2.0,0.165,-7.276,1.0,0.0332,116.606,4.0,0.83
Eric Carmen,Make Me Lose Control,31HhcRSNcS8Rgv9ldIfh66,Make Me Lose Control,Eric Carmen,0.0728,0.724,285947.0,0.619,0.0,4.0,0.205,-9.074,1.0,0.0242,109.029,4.0,0.746
Eric Carmen,Boats Against The Current,6ozvQm6yKNq4LUbMgBRgLH,Boats Against the Current,Eric Carmen,0.339,0.428,263533.0,0.365,0.000335,7.0,0.0948,-11.074,1.0,0.0279,112.615,4.0,0.139
Eric Carmen,Never Gonna Fall In Love Again,0heydDe48z4u6n7KNKDHkr,Never Gonna Fall in Love Again,Eric Carmen,0.778,0.415,226160.0,0.599,0.0143,9.0,0.0908,-7.972,1.0,0.0343,115.979,4.0,0.43
Eric Carmen,Sunrise,3GCXXFJWf8Ey0xG7ZnBH5V,Sunrise,Eric Carmen,0.109,0.288,322373.0,0.797,0.00686,0.0,0.146,-7.806,0.0,0.0562,128.08,4.0,0.198
Mariah Carey,Without You/Never Forget You,6MVrwx12IjKhBfzWEXl33e,Never Forget You,Mariah Carey,0.2,0.525,225707.0,0.533,0.0,2.0,0.198,-7.419,1.0,0.0289,149.923,3.0,0.268
Mariah Carey,Anytime You Need A Friend,0S8xKy1efKy3LvR53qe3Cq,Anytime You Need a Friend,Mariah Carey,0.469,0.57,265467.0,0.549,7.91e-06,9.0,0.0715,-7.956,0.0,0.0312,136.13,4.0,0.295
Mariah Carey,Hero,4FCb4CUbFCMNRkI6lYc1zI,Hero,Mariah Carey,0.735,0.501,257733.0,0.378,0.0,4.0,0.119,-9.37,1.0,0.029,119.987,4.0,0.178
Mariah Carey,Dreamlover,6HcQZfMrw3KwGyzrKw1Pjy,Dreamlover,Mariah Carey,0.18,0.701,232960.0,0.705,0.0,5.0,0.141,-6.18,1.0,0.0357,100.669,4.0,0.71
Bobby Caldwell,Coming Down From Love,4IR1LDAWA3Rly689SrjHrF,Coming Down from Love,Bobby Caldwell,0.469,0.492,242027.0,0.427,8.23e-05,1.0,0.0787,-12.935,0.0,0.0394,100.167,4.0,0.735
Carpenters,For All We Know,5llfFWv1tH61nENrsjg3KZ,"For All We Know - From ""Lovers And Other Strangers"" Soundtrack",Carpenters,0.879,0.307,158933.0,0.237,1.65e-05,7.0,0.0871,-13.437,1.0,0.0304,135.6,4.0,0.194
Carpenters,Rainy Days And Mondays,5cbZDpFu1hTwaU7hDQpf13,Rainy Days And Mondays,Carpenters,0.852,0.351,218893.0,0.235,0.0,10.0,0.0688,-11.513,1.0,0.0323,74.72,4.0,0.218
Cameo,Back And Forth,5npM7WGCaXDS5xO6Z9hJVj,"Back And Forth - 7"" Version",Cameo,0.0826,0.887,231933.0,0.624,2.37e-06,6.0,0.174,-6.162,0.0,0.032,111.83,4.0,0.906
Cameo,Candy,0Aj8EagrPfDoOe5OlUdrLC,Candy,Cameo,0.119,0.705,339933.0,0.709,1.69e-05,11.0,0.286,-12.649,0.0,0.0489,110.522,4.0,0.853
Cameo,Word Up,7LoGfKBAaOl0nxhodJ1240,Word Up,Cameo,0.0421,0.878,260000.0,0.84,0.0035,6.0,0.053,-13.105,0.0,0.064,116.222,4.0,0.882
Rod Stewart,Ooh La La,1xQeNjkcWb2at409bfedop,Ooh La La,Rod Stewart,0.0213,0.405,256133.0,0.681,0.0,5.0,0.0748,-8.755,0.0,0.0359,151.235,4.0,0.598
Patsy Cline,Leavin' On Your Mind,1D2mV1f9QkklP6vy0sdBI9,Leavin' On Your Mind - Single Version,Patsy Cline,0.932,0.493,147027.0,0.0719,2.04e-06,7.0,0.607,-19.293,1.0,0.0317,104.018,3.0,0.385
Patsy Cline,Faded Love,4JhiMSToOzxb4U1YqZvZQC,Faded Love,Patsy Cline,0.917,0.465,223240.0,0.161,0.0,3.0,0.134,-11.889,1.0,0.0305,91.983,4.0,0.387
Patsy Cline,She's Got You,4H1POasJbrLNaQirsIH29e,She's Got You - Single Version,Patsy Cline,0.947,0.388,181800.0,0.143,0.000865,5.0,0.1,-17.545,1.0,0.0416,182.665,3.0,0.578
Patsy Cline,I Fall To Pieces,6zFsz86nAj5gcvzyVqNL3k,I Fall To Pieces - Single Version,Patsy Cline,0.917,0.54,171333.0,0.0568,1.01e-06,10.0,0.12,-20.508,1.0,0.0351,111.791,4.0,0.506
Patsy Cline,Sweet Dreams (Of You),0gnQsZ607gfNhIUqCNFC1G,Sweet Dreams (Of You) - Single Version,Patsy Cline,0.953,0.321,155733.0,0.0227,0.0,8.0,0.313,-22.698,1.0,0.0349,83.319,4.0,0.312
Carpenters,Yesterday Once More,3wM6RTAnF7IQpMFd7b9ZcL,Yesterday Once More,Carpenters,0.672,0.254,233533.0,0.38,0.0,4.0,0.379,-13.806,1.0,0.0337,168.496,4.0,0.408
Carpenters,Sing,386bIxJPFIr5pVuVQTZIOm,Sing,Carpenters,0.909,0.506,198760.0,0.28,0.000311,3.0,0.164,-16.651,1.0,0.0397,139.846,4.0,0.316
Marty Robbins,"My Woman, My Woman, My Wife",7K40sZ0ZV6vGjzSso2nFyr,"My Woman, My Woman, My Wife",Marty Robbins,0.927,0.429,211107.0,0.317,3.5e-06,0.0,0.116,-11.322,1.0,0.0292,102.109,3.0,0.302
Marty Robbins,I Walk Alone,6fPfnKoiVqv4F9yQjQi7Pf,I Walk Alone,Marty Robbins,0.787,0.427,197827.0,0.218,0.00192,0.0,0.111,-15.008,1.0,0.0362,76.396,4.0,0.381
Marty Robbins,Devil Woman,58ojWS1EGL6z5rEOELtJmH,Devil Woman,Marty Robbins,0.921,0.684,172667.0,0.277,6.54e-06,4.0,0.124,-13.1,1.0,0.0533,145.155,4.0,0.642
Marty Robbins,Ruby Ann,7H9mWUsWJR4tIpzvoSih1k,Ruby Ann,Marty Robbins,0.685,0.629,119267.0,0.702,0.0,6.0,0.237,-8.905,1.0,0.0536,156.547,3.0,0.911
Marty Robbins,Don't Worry,0dPfKBYyPmoSfoLJqeKAs4,Don't Worry,Marty Robbins,0.879,0.648,194160.0,0.165,0.000216,4.0,0.13,-16.446,1.0,0.0348,99.585,4.0,0.435
Sammy Hagar,Two Sides Of Love,6YqohcsG2Q0xbepZY2QSz0,Two Sides Of Love,Sammy Hagar,0.024,0.461,223173.0,0.745,0.0,4.0,0.114,-12.172,1.0,0.048,126.649,4.0,0.704
Depeche Mode,World In My Eyes,70B5oP5ng1QYClkJ9CeWly,World in My Eyes - 2006 Remaster,Depeche Mode,0.00737,0.66,267040.0,0.881,0.833,10.0,0.0514,-7.802,0.0,0.0419,122.244,4.0,0.949
Depeche Mode,Policy Of Truth,0C6EIiQu8CS4eYtOCMEiAd,Policy of Truth - 2006 Remaster,Depeche Mode,0.0093,0.678,294040.0,0.658,0.239,8.0,0.118,-7.3,1.0,0.028,114.209,4.0,0.359
Depeche Mode,Personal Jesus,1xShPgQbOUa98avWJQFDBY,Personal Jesus - Original Single Version,Depeche Mode,0.0112,0.637,224907.0,0.682,0.0234,11.0,0.0473,-11.625,1.0,0.0366,129.983,4.0,0.714
Depeche Mode,Only When I Lose Myself,3cyEsjm4yRObvdhXweZnbF,Only When I Lose Myself - Single Version; 2007 Remaster,Depeche Mode,0.0498,0.519,274000.0,0.718,0.000215,8.0,0.117,-7.267,0.0,0.0315,86.882,4.0,0.43
