year,metrics,count
1958,acousticness,1.0
1958,danceability,0.1664617089010645
1958,energy,0.1373934295535928
1958,instrumentalness,0.34806303367283326
1958,liveness,0.48438490227314634
1958,loudness,0.11799587582319249
1958,speechiness,0.07056131646883379
1959,acousticness,0.9950925732255783
1959,danceability,0.1726393044661907
1959,energy,0.10467992781416346
1959,instrumentalness,0.414892874712248
1959,liveness,0.4632385302663913
1959,loudness,0.03759896436071264
1959,speechiness,0.06839125419119452
1960,acousticness,0.9399629992985742
1960,danceability,0.0
1960,energy,0.0
1960,instrumentalness,0.38969550737975217
1960,liveness,0.5925916828409945
1960,loudness,0.04080868532968118
1960,speechiness,0.06429816219329204
1961,acousticness,0.9120413854274759
1961,danceability,0.0740335635064886
1961,energy,0.08313126605098686
1961,instrumentalness,0.2641879879281578
1961,liveness,0.8186555508077222
1961,loudness,0.0782272518239957
1961,speechiness,0.0758974286327973
1962,acousticness,0.8915180102656272
1962,danceability,0.1776642893662581
1962,energy,0.16915725968266093
1962,instrumentalness,0.5099499336620329
1962,liveness,0.8846000197427362
1962,loudness,0.10008492918323086
1962,speechiness,0.12081433890982052
1963,acousticness,0.849160624534045
1963,danceability,0.09658023265500937
1963,energy,0.22828774255746587
1963,instrumentalness,0.4353097228885716
1963,liveness,1.0
1963,loudness,0.11777517178096764
1963,speechiness,0.09602680358071947
1964,acousticness,0.7358010724742652
1964,danceability,0.08098732235768402
1964,energy,0.36801110573889106
1964,instrumentalness,0.362215964844564
1964,liveness,0.8673537678430856
1964,loudness,0.20726275350082535
1964,speechiness,0.0745371751383862
1965,acousticness,0.6612255985046984
1965,danceability,0.08648690609660115
1965,energy,0.3389999572884719
1965,instrumentalness,0.4503031308934553
1965,liveness,0.6583435544904095
1965,loudness,0.2094987357312854
1965,speechiness,0.06009087399987062
1966,acousticness,0.5665850738124512
1966,danceability,0.1447452171879
1966,energy,0.3013386862163929
1966,instrumentalness,0.432769035608217
1966,liveness,0.6611395406127909
1966,loudness,0.15903028456720603
1966,speechiness,0.034954544656588815
1967,acousticness,0.5322466940891661
1967,danceability,0.05063158468863138
1967,energy,0.2914773300329174
1967,instrumentalness,0.5125321404325216
1967,liveness,0.7417319020195032
1967,loudness,0.15502616164832617
1967,speechiness,0.04222228379124504
1968,acousticness,0.46729255578478157
1968,danceability,0.13873810848856127
1968,energy,0.24337817276379625
1968,instrumentalness,0.7588988257668279
1968,liveness,0.5687218993269951
1968,loudness,0.04971305897976386
1968,speechiness,0.061542206217321316
1969,acousticness,0.461708757688465
1969,danceability,0.024537781838437578
1969,energy,0.28244253203505987
1969,instrumentalness,0.45633849647608105
1969,liveness,0.78009822770241
1969,loudness,0.0
1969,speechiness,0.10469460779483392
1970,acousticness,0.4377638583155894
1970,danceability,0.10129436077312759
1970,energy,0.38479971601900287
1970,instrumentalness,0.7339488066748608
1970,liveness,0.7169114716423692
1970,loudness,0.06733745983911343
1970,speechiness,0.058855502031181395
1971,acousticness,0.49854513933355915
1971,danceability,0.16357628758353338
1971,energy,0.3948132295677089
1971,instrumentalness,0.5503415701898015
1971,liveness,0.5574282501579653
1971,loudness,0.039983376119026914
1971,speechiness,0.07987738593838944
1972,acousticness,0.48778313594383405
1972,danceability,0.15485625064309705
1972,energy,0.35557643909329073
1972,instrumentalness,0.6024582357099801
1972,liveness,0.5991037976995335
1972,loudness,0.011567612130725768
1972,speechiness,0.0869003598387999
1973,acousticness,0.4415713572555159
1973,danceability,0.22678137278846444
1973,energy,0.41273896350411343
1973,instrumentalness,0.9118391882205921
1973,liveness,0.3755027153123631
1973,loudness,0.007775029527236965
1973,speechiness,0.09062165960354546
1974,acousticness,0.38465010712748127
1974,danceability,0.3334494262043384
1974,energy,0.5117922832235258
1974,instrumentalness,1.0
1974,liveness,0.5776506817005216
1974,loudness,0.09600864587703661
1974,speechiness,0.14160077734569249
1975,acousticness,0.3480337139069699
1975,danceability,0.3115254351941865
1975,energy,0.4927783912758872
1975,instrumentalness,0.8844231323002703
1975,liveness,0.2554321899877774
1975,loudness,0.06932946027283693
1975,speechiness,0.06678864095921888
1976,acousticness,0.3070033829521258
1976,danceability,0.3764247534186147
1976,energy,0.5842831407327327
1976,instrumentalness,0.788159175880366
1976,liveness,0.6041503800397843
1976,loudness,0.1430377599460666
1976,speechiness,0.09423189894647704
1977,acousticness,0.2533321753006609
1977,danceability,0.3855552068408268
1977,energy,0.5675581613162182
1977,instrumentalness,0.8488209991546478
1977,liveness,0.45082277528105497
1977,loudness,0.1411033947302589
1977,speechiness,0.03890280278838898
1978,acousticness,0.22338227103716263
1978,danceability,0.3949562465584937
1978,energy,0.4773202831716472
1978,instrumentalness,0.6184069208158665
1978,liveness,0.37692464610734255
1978,loudness,0.09876536066259045
1978,speechiness,0.04836346064507918
1979,acousticness,0.17015782984966143
1979,danceability,0.5552120332774582
1979,energy,0.5922551606860762
1979,instrumentalness,0.7658087074189369
1979,liveness,0.2079356421502796
1979,loudness,0.1177477081959617
1979,speechiness,0.07119840069958128
1980,acousticness,0.2361205816701698
1980,danceability,0.47260486265429114
1980,energy,0.5318216819132973
1980,instrumentalness,0.3883679784018544
1980,liveness,0.5484482363800889
1980,loudness,0.14111841500159783
1980,speechiness,0.03797743235854756
1981,acousticness,0.279416677053431
1981,danceability,0.4734536247812793
1981,energy,0.43870967849633
1981,instrumentalness,0.3258370054648324
1981,liveness,0.4155632201277837
1981,loudness,0.1245556111127788
1981,speechiness,0.006609374460740558
1982,acousticness,0.18647528814051123
1982,danceability,0.6241801972407051
1982,energy,0.5704466687137311
