year,falsette,count
1979,7,2
1979,8,3
1979,9,2
1979,10,3
1980,1,0
1980,2,27
1980,3,11
1980,4,9
1980,5,5
1980,6,6
1980,7,4
1980,8,1
1980,9,2
1980,10,0
1981,1,0
1981,2,31
1981,3,11
1981,4,16
1981,5,2
1981,6,4
1981,7,2
1981,8,1
1981,9,0
1981,10,1
1982,1,0
1982,2,26
1982,3,4
1982,4,12
1982,5,1
1982,6,4
1982,7,3
1982,8,2
1982,9,0
1982,10,0
1983,1,0
1983,2,27
1983,3,18
1983,4,12
1983,5,2
1983,6,3
1983,7,3
1983,8,1
1983,9,1
1983,10,0
1984,1,0
1984,2,39
1984,3,12
1984,4,22
1984,5,3
1984,6,1
1984,7,3
1984,8,1
1984,9,0
1984,10,1
1985,1,0
1985,2,30
1985,3,19
1985,4,20
1985,5,2
1985,6,2
1985,7,1
1985,8,3
1985,9,0
1985,10,1
1986,1,0
1986,2,29
1986,3,19
1986,4,14
1986,5,1
1986,6,3
1986,7,0
1986,8,1
1986,9,1
1986,10,1
1987,1,0
1987,2,24
1987,3,10
1987,4,16
1987,5,2
1987,6,3
1987,7,2
1987,8,3
1987,9,0
1987,10,0
1988,1,0
1988,2,21
1988,3,15
1988,4,8
1988,5,3
1988,6,0
1988,7,1
1988,8,2
1988,9,0
1988,10,1
1989,1,0
1989,2,28
1989,3,9
1989,4,8
1989,5,4
1989,6,2
1989,7,0
1989,8,0
1989,9,1
1989,10,0
1990,1,0
1990,2,32
1990,3,7
1990,4,13
1990,5,2
1990,6,2
1990,7,1
1990,8,1
1990,9,1
1990,10,0
1991,1,0
1991,2,27
1991,3,8
1991,4,13
1991,5,3
1991,6,2
1991,7,2
1991,8,0
1991,9,1
1991,10,0
1992,1,0
1992,2,19
1992,3,17
1992,4,13
1992,5,4
1992,6,6
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1993,1,0
1993,2,19
1993,3,8
1993,4,9
1993,5,5
1993,6,1
1993,7,1
1993,8,2
1993,9,0
1993,10,0
1994,1,0
1994,2,19
1994,3,12
1994,4,8
1994,5,3
1994,6,3
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1995,1,0
1995,2,10
1995,3,12
1995,4,15
1995,5,5
1995,6,2
1995,7,1
1995,8,0
1995,9,0
1995,10,0
1996,1,0
1996,2,14
1996,3,10
1996,4,10
1996,5,4
1996,6,2
1996,7,2
1996,8,3
1996,9,1
1996,10,1
1997,1,0
1997,2,16
1997,3,10
1997,4,10
1997,5,1
1997,6,7
1997,7,1
1997,8,1
1997,9,0
1997,10,1
1998,1,0
1998,2,22
1998,3,10
1998,4,7
1998,5,3
1998,6,2
1998,7,0
1998,8,0
1998,9,0
1998,10,0
1999,1,0
1999,2,16
1999,3,12
1999,4,9
1999,5,7
1999,6,5
1999,7,0
1999,8,0
1999,9,1
1999,10,0
2000,1,0
2000,2,20
2000,3,10
2000,4,9
2000,5,0
2000,6,1
2000,7,0
2000,8,1
2000,9,0
2000,10,0
2001,1,0
2001,2,11
2001,3,7
2001,4,5
2001,5,6
2001,6,5
2001,7,1
2001,8,1
2001,9,0
2001,10,0
2002,1,0
2002,2,29
2002,3,20
2002,4,5
2002,5,3
2002,6,4
2002,7,0
2002,8,2
2002,9,0
2002,10,1
2003,1,0
2003,2,18
2003,3,12
2003,4,5
2003,5,5
2003,6,3
2003,7,0
2003,8,1
2003,9,0
2003,10,0
2004,1,0
2004,2,20
2004,3,14
2004,4,12
2004,5,6
2004,6,2
2004,7,1
2004,8,1
2004,9,0
2004,10,0
2005,1,0
2005,2,29
2005,3,12
2005,4,10
2005,5,5
